train_loss,train_acc,test_acc
3.042828321456909,0.17624,0.2302
2.4587011337280273,0.31254,0.3167
2.1214725971221924,0.39312,0.3404
1.8359320163726807,0.46074,0.3794
1.7124733924865723,0.52232,0.4089
1.6078540086746216,0.57928,0.4256
1.397148609161377,0.63614,0.4295
1.1656373739242554,0.70368,0.4078
0.8186551332473755,0.76112,0.4257
0.6365519165992737,0.8269,0.4494
0.39392170310020447,0.87876,0.4393
0.3274644911289215,0.91296,0.4504
0.24345336854457855,0.94318,0.4625
0.14953702688217163,0.95904,0.4612
0.1272020936012268,0.96934,0.4678
0.06761395186185837,0.9781,0.4739
0.054351720958948135,0.98482,0.4649
0.032196011394262314,0.99144,0.4755
0.006849708501249552,0.99466,0.4835
0.04812951758503914,0.99778,0.4985
0.0039001249242573977,0.99812,0.5099
0.0019172605825588107,0.99914,0.5134
0.0005761125357821584,0.99928,0.5148
0.0004283487214706838,0.9993,0.5189
0.015988243743777275,0.99944,0.519
0.0003837254480458796,0.99946,0.5208
0.000285148445982486,0.99948,0.5177
0.0003478808212094009,0.99958,0.5238
0.0002996338880620897,0.99964,0.5203
0.00025192793691530824,0.9995,0.5205
0.00034329682239331305,0.99956,0.5209
0.01229364424943924,0.99956,0.5211
0.0002725999220274389,0.99968,0.5213
0.00017751955601852387,0.9996,0.5213
0.00021095150441396981,0.99966,0.5232
0.00021562798065133393,0.99962,0.5202
0.006239729467779398,0.9997,0.522
0.00017456214118283242,0.9997,0.5219
0.00011833262396976352,0.99964,0.5243
0.00015839212574064732,0.99964,0.5219
0.00014199834549799562,0.99958,0.5221
0.00632757181301713,0.99964,0.5225
0.00015772860206197947,0.99968,0.5239
0.00013084015517961234,0.99966,0.5222
0.00012795612565241754,0.9997,0.5231
9.017255797516555e-05,0.99968,0.5232
0.00012924335896968842,0.9997,0.5229
0.00010029660916188732,0.9997,0.522
9.677518391981721e-05,0.99972,0.5225
0.00015466008335351944,0.9997,0.5243
9.031543595483527e-05,0.9997,0.5233
0.003285025479272008,0.99972,0.5214
8.667054498801008e-05,0.99972,0.5244
0.00012475132825784385,0.99976,0.5208
0.00010162960097659379,0.9997,0.5224
0.00010373369150329381,0.99968,0.5235
