train_loss,train_acc,test_acc
4.480381011962891,0.0252,0.0461
4.26353645324707,0.06364,0.0759
4.042651653289795,0.09488,0.0968
3.921834945678711,0.1195,0.1156
3.8040683269500732,0.14036,0.1288
3.6667120456695557,0.15882,0.1413
3.618952512741089,0.1755,0.1553
3.5405619144439697,0.1903,0.1642
3.606987476348877,0.2047,0.1714
3.3719565868377686,0.21716,0.1797
3.2536275386810303,0.22948,0.1881
3.437389612197876,0.24016,0.1962
3.11946439743042,0.2516,0.2018
3.173798084259033,0.26248,0.2062
3.193887948989868,0.27276,0.2115
3.1940314769744873,0.28408,0.2168
2.9607491493225098,0.29266,0.2216
3.1555423736572266,0.30244,0.2258
2.958840847015381,0.31356,0.2302
3.0598337650299072,0.3215,0.2329
3.0082993507385254,0.33144,0.2374
2.883897304534912,0.3393,0.2405
2.759467840194702,0.34924,0.2448
2.8281474113464355,0.35776,0.2485
2.6814181804656982,0.36826,0.2502
2.681112051010132,0.37628,0.2534
2.674165725708008,0.38486,0.2568
2.556776762008667,0.39256,0.2598
2.596510648727417,0.40382,0.2632
2.491497755050659,0.41098,0.2651
2.413520336151123,0.42026,0.2668
2.483229398727417,0.4298,0.2698
2.5086560249328613,0.43848,0.2718
2.39837908744812,0.44776,0.273
2.4513092041015625,0.45576,0.2744
2.263871192932129,0.46464,0.2767
2.342475414276123,0.473,0.2778
2.1267917156219482,0.48184,0.279
2.1780829429626465,0.49154,0.2788
2.1496951580047607,0.49944,0.281
2.029358386993408,0.51036,0.2827
2.1512022018432617,0.51968,0.2822
1.9870599508285522,0.52748,0.2826
2.042435884475708,0.53678,0.2842
2.015775203704834,0.54544,0.285
1.9019960165023804,0.55466,0.2854
2.0511584281921387,0.56348,0.2888
1.9311097860336304,0.57258,0.2892
2.040938138961792,0.58158,0.2899
1.8984251022338867,0.5903,0.2894
1.7301359176635742,0.60014,0.2906
1.8411400318145752,0.60974,0.2923
1.6120473146438599,0.61824,0.291
1.7550402879714966,0.62816,0.2923
1.7261438369750977,0.6361,0.2918
1.6898176670074463,0.64622,0.2924
1.723499059677124,0.65346,0.2936
1.6481809616088867,0.66354,0.2924
1.6410387754440308,0.67232,0.2927
1.646500587463379,0.68048,0.2943
1.5453532934188843,0.69184,0.2936
1.419211983680725,0.6989,0.2939
1.492601752281189,0.70924,0.2945
1.4214065074920654,0.71678,0.2946
1.4540255069732666,0.72512,0.2942
1.3107514381408691,0.73582,0.2943
1.37718665599823,0.74472,0.2956
1.3973913192749023,0.7532,0.2944
1.2198280096054077,0.76244,0.2959
1.2153360843658447,0.7707,0.295
1.2154663801193237,0.78004,0.294
1.1860312223434448,0.78956,0.2949
1.12549889087677,0.79616,0.2946
1.0807054042816162,0.8037,0.2941
1.1535537242889404,0.81384,0.2937
1.0728700160980225,0.82092,0.2934
1.2071585655212402,0.82842,0.294
1.0504883527755737,0.83464,0.2924
0.9936028718948364,0.84476,0.293
1.0462816953659058,0.851,0.2919
0.9270711541175842,0.85882,0.292
0.8901211619377136,0.86606,0.2908
0.883220374584198,0.87408,0.2895
0.8820638060569763,0.87958,0.2887
0.90110844373703,0.88784,0.2888
0.8098957538604736,0.89288,0.2897
0.8654749989509583,0.89872,0.2901
0.803008496761322,0.90694,0.2901
0.7419635057449341,0.91142,0.2886
0.7352718114852905,0.91692,0.2868
0.6956077814102173,0.92256,0.2885
0.7350503206253052,0.92754,0.2876
0.6923208236694336,0.93338,0.2855
0.6944108009338379,0.93814,0.2873
0.6102140545845032,0.94366,0.286
0.6677857637405396,0.94754,0.2855
0.5905429124832153,0.9517,0.2871
0.6350136995315552,0.95468,0.285
0.5736645460128784,0.95924,0.2861
0.5403342843055725,0.96208,0.2858
0.5338390469551086,0.96442,0.2842
0.4965071976184845,0.96866,0.2835
0.4399736821651459,0.97102,0.2837
0.5082246661186218,0.97364,0.2838
0.4371265769004822,0.9763,0.2838
0.37893930077552795,0.979,0.2841
0.3997788727283478,0.981,0.2822
0.37909427285194397,0.98284,0.2824
0.36199769377708435,0.985,0.2833
0.37995094060897827,0.98656,0.2829
0.3342495560646057,0.98834,0.2822
0.3522292673587799,0.98984,0.2821
0.3036046624183655,0.99176,0.2823
0.2944200038909912,0.9919,0.2813
0.27214500308036804,0.99338,0.2814
0.2909388840198517,0.99424,0.2808
0.2583448588848114,0.9951,0.2813
0.22779420018196106,0.99554,0.2806
0.2874804139137268,0.99616,0.2808
0.2263338714838028,0.99684,0.2804
0.21368014812469482,0.99736,0.2814
0.21949712932109833,0.99792,0.2804
0.1999778002500534,0.99822,0.282
0.17799723148345947,0.99818,0.2804
0.1856072098016739,0.9987,0.2812
0.24185682833194733,0.9987,0.2803
0.15271371603012085,0.99898,0.2824
0.17302897572517395,0.99922,0.281
0.13366355001926422,0.9992,0.2793
0.16671893000602722,0.9993,0.2806
0.1315341591835022,0.99952,0.281
0.16341380774974823,0.99944,0.2804
0.1319551169872284,0.99956,0.2811
0.12717308104038239,0.99956,0.2803
0.10833419859409332,0.99968,0.2803
0.12959089875221252,0.99968,0.28
0.10212504118680954,0.99962,0.2789
0.11508570611476898,0.99962,0.2807
0.0913405567407608,0.99968,0.2798
0.09848161786794662,0.99972,0.2805
0.10968629270792007,0.99968,0.2799
0.10085054486989975,0.99968,0.2788
0.09107684344053268,0.99976,0.2793
0.07383881509304047,0.9997,0.2799
0.0824412927031517,0.9997,0.2791
0.07724784314632416,0.99972,0.2795
0.06481343507766724,0.99974,0.2793
0.0825081542134285,0.99972,0.279
0.05724739283323288,0.99974,0.2793
0.060769934207201004,0.9997,0.2795
0.05740470439195633,0.9997,0.2804
0.05478701740503311,0.99974,0.28
0.05282706394791603,0.9997,0.2804
0.04708978906273842,0.99974,0.2796
0.04410591349005699,0.99976,0.2799
0.04668867960572243,0.99972,0.2794
0.043081365525722504,0.9997,0.2791
0.040566522628068924,0.9997,0.2796
0.047384172677993774,0.99978,0.2784
0.03616728633642197,0.99976,0.2791
0.04178902506828308,0.99978,0.2784
0.03925096616148949,0.9997,0.2798
0.03282235562801361,0.99974,0.2792
0.03314567357301712,0.99972,0.2799
0.02886606752872467,0.99972,0.2788
0.029933897778391838,0.99968,0.2801
0.029872456565499306,0.99968,0.2779
0.04017538204789162,0.9997,0.2794
0.035556819289922714,0.9997,0.2793
0.02505248226225376,0.99976,0.2818
0.026545995846390724,0.99974,0.2789
0.026070518419146538,0.99972,0.2787
0.022325674071907997,0.99974,0.2794
0.022741926833987236,0.99974,0.2779
0.02211652137339115,0.9997,0.279
0.02435177192091942,0.99976,0.2798
0.02920123003423214,0.99974,0.2799
0.027201905846595764,0.99972,0.2772
0.023035097867250443,0.99976,0.2788
0.018121793866157532,0.99976,0.2785
0.020677778869867325,0.99976,0.2784
0.01700531877577305,0.99972,0.278
0.026665886864066124,0.99974,0.2788
0.015626469627022743,0.9997,0.2781
0.013163065537810326,0.99968,0.2798
0.016698602586984634,0.99972,0.279
0.013016020879149437,0.99978,0.2783
0.015511401928961277,0.99972,0.2774
0.012044242583215237,0.9998,0.2796
0.011626223102211952,0.9998,0.2784
0.011109180748462677,0.9997,0.2778
0.014488978311419487,0.99974,0.2801
0.011066907085478306,0.99976,0.2783
0.016145797446370125,0.99978,0.2771
0.009240321815013885,0.9997,0.2792
0.010776622220873833,0.9997,0.2779
0.009086130186915398,0.99978,0.2798
0.022728601470589638,0.99972,0.2787
0.008293337188661098,0.99974,0.2786
0.008499613031744957,0.99976,0.2789
