train_loss,train_acc,test_acc
3.0007333755493164,0.2098,0.2795
2.5739238262176514,0.38916,0.3154
1.8408862352371216,0.54838,0.3335
1.1122615337371826,0.7503,0.321
0.33811116218566895,0.9219,0.3375
0.09432156383991241,0.98738,0.3506
0.016198810189962387,0.99786,0.3545
0.00796297937631607,0.999,0.3623
0.012885915115475655,0.99936,0.3656
0.005118693690747023,0.99952,0.3646
0.004891450051218271,0.99958,0.3648
0.0035800980404019356,0.99962,0.3649
0.0033056342508643866,0.99966,0.3663
0.0028219022788107395,0.99962,0.3651
0.0027486635372042656,0.99962,0.3641
0.0022598612122237682,0.99968,0.3646
0.002087072469294071,0.99974,0.3638
0.02982315607368946,0.99972,0.3643
0.0016938684275373816,0.99974,0.3642
0.0018889886559918523,0.9997,0.365
0.0016473975265398622,0.9997,0.3651
0.0017003427492454648,0.99974,0.364
0.001643620664253831,0.99974,0.3645
0.0017471493920311332,0.99978,0.3659
0.0014176456024870276,0.99974,0.3652
0.00132891780231148,0.99972,0.3629
0.0012393075739964843,0.99978,0.3637
0.0012540774187073112,0.99974,0.3648
0.0011978258844465017,0.99968,0.3626
0.0012724318075925112,0.99978,0.3641
0.001126954099163413,0.99974,0.3628
0.001082839211449027,0.99976,0.3634
0.0012337766820564866,0.99974,0.3624
0.001164204441010952,0.99976,0.3638
0.004751692060381174,0.9997,0.3625
0.0010120663791894913,0.99972,0.3629
0.0009849361376836896,0.99976,0.3632
0.0008453826303593814,0.9998,0.3637
0.0009868096094578505,0.99976,0.3631
0.000832313671708107,0.9997,0.3631
0.0007986116106621921,0.99968,0.3639
0.009440453723073006,0.99972,0.3643
0.009359591640532017,0.99978,0.3627
0.0008502807468175888,0.99968,0.3623
0.007540298160165548,0.99976,0.363
0.00607674103230238,0.99968,0.3623
0.0008039384265430272,0.99974,0.3615
0.0006763432756997645,0.99972,0.3629
0.0007069448474794626,0.9997,0.3638
0.000610117509495467,0.99978,0.3636
0.0007115888292901218,0.9997,0.3635
0.000687899999320507,0.9998,0.3626
0.0005819097859784961,0.99972,0.3624
0.0006729130982421339,0.99972,0.3628
0.0006599675980396569,0.99972,0.3615
0.0006155753508210182,0.99974,0.3617
