train_loss,train_acc,test_acc
2.860574960708618,0.22038,0.2806
2.316969394683838,0.39502,0.3309
1.9359521865844727,0.55612,0.3402
1.0336017608642578,0.75916,0.3359
0.3174463212490082,0.91702,0.3429
0.09637591987848282,0.983,0.3641
0.04593559727072716,0.99586,0.3645
0.010188577696681023,0.99728,0.3703
0.03387916833162308,0.99844,0.3739
0.008865498006343842,0.9983,0.3709
0.014733487740159035,0.99814,0.3681
0.011064519174396992,0.99804,0.3699
0.014523439109325409,0.99756,0.3577
0.0663791298866272,0.99356,0.3378
1.492047667503357,0.89562,0.2577
0.9693849682807922,0.72074,0.3139
0.1853460967540741,0.94074,0.3324
0.030388226732611656,0.99008,0.3641
0.017371894791722298,0.9983,0.3704
0.031519584357738495,0.9993,0.3754
0.0011631300440058112,0.99954,0.3781
0.0009032435482367873,0.99952,0.3753
0.004857902880758047,0.9995,0.3788
0.021229706704616547,0.99956,0.3747
0.0006294160266406834,0.99958,0.3742
0.0005607647472061217,0.99964,0.3791
0.0004992714384570718,0.99972,0.3794
0.00040379396523348987,0.99968,0.3792
0.01057356595993042,0.99962,0.3796
0.0003348349709995091,0.99966,0.3782
0.0003756473306566477,0.99962,0.3801
0.0002628341899253428,0.99968,0.3806
0.00025352477678097785,0.99968,0.3808
0.00022045252262614667,0.99968,0.3795
0.00027935250545851886,0.99972,0.3787
0.0002460355462972075,0.99976,0.3818
0.00022426460054703057,0.99976,0.3792
0.0002296316233696416,0.99978,0.3798
0.00024919374845921993,0.99968,0.3795
0.0003206924593541771,0.99966,0.3822
0.0002951595524791628,0.9997,0.3802
0.00019157466886099428,0.99974,0.3803
0.00017933978233486414,0.99972,0.3814
0.0001805548236006871,0.99978,0.382
0.00023650182993151248,0.99966,0.3787
0.00018299133807886392,0.99976,0.3788
0.00019642621919047087,0.99968,0.3813
0.00018482774612493813,0.99968,0.3805
0.00015771313337609172,0.99972,0.3796
0.0006853342638351023,0.99968,0.3757
1.7824128866195679,0.62474,0.3384
0.9605265259742737,0.71104,0.333
0.29340243339538574,0.91652,0.3466
0.15004250407218933,0.96438,0.3551
0.03220200911164284,0.98596,0.3655
0.026361465454101562,0.99588,0.3778
