train_loss,train_acc,test_acc
2.9776101112365723,0.21826,0.2953
2.2951266765594482,0.39278,0.3327
1.6878492832183838,0.55126,0.339
1.177865743637085,0.74758,0.3344
0.4184594750404358,0.92378,0.3453
0.08604730665683746,0.9891,0.3613
0.017104556784033775,0.99802,0.3749
0.00845809280872345,0.99914,0.3763
0.0070699830539524555,0.9993,0.3793
0.005155038554221392,0.9994,0.3764
0.003852356458082795,0.99952,0.3776
0.0035705368500202894,0.99952,0.377
0.0036163057666271925,0.99952,0.3755
0.013730897568166256,0.9996,0.3798
0.002489717910066247,0.99964,0.3793
0.002291732467710972,0.9996,0.379
0.00268019107170403,0.99964,0.3779
0.002244311850517988,0.99978,0.3783
0.001760129234753549,0.9997,0.3788
0.0019067784305661917,0.99972,0.3778
0.0016485984669998288,0.99974,0.3784
0.001831067493185401,0.99976,0.3788
0.0015271235024556518,0.9997,0.3779
0.0014551861677318811,0.99974,0.3782
0.009895853698253632,0.99972,0.3776
0.0014385400572791696,0.9998,0.3767
0.0012560004834085703,0.99968,0.3763
0.001165765686891973,0.99976,0.3779
0.0014373513404279947,0.99972,0.3771
0.0011441610986366868,0.9997,0.3777
0.009311355650424957,0.99972,0.3777
0.0011591300135478377,0.99974,0.3777
0.0013713116059079766,0.99976,0.3761
0.0009797941893339157,0.9997,0.3788
0.0009202154469676316,0.9997,0.3781
0.0008681462495587766,0.99974,0.3766
0.0010294353123754263,0.99974,0.3775
0.00897356029599905,0.99972,0.3764
0.0008685254724696279,0.9998,0.3774
0.0008521167910657823,0.99976,0.376
0.0007627362501807511,0.99972,0.377
0.009715248830616474,0.99976,0.3769
0.0007485374808311462,0.9998,0.3763
0.0007865752559155226,0.99974,0.3765
0.0007010729168541729,0.99974,0.3767
0.0008881210815161467,0.99972,0.3772
0.0007509565912187099,0.9997,0.377
0.0007468131952919066,0.99978,0.3755
0.0007363471086136997,0.9997,0.3764
0.008608114905655384,0.99974,0.3763
0.008862713351845741,0.99978,0.3763
0.006802330259233713,0.99978,0.3769
0.0005725964438170195,0.99976,0.3768
0.0009050182998180389,0.9997,0.3776
0.0006789892795495689,0.9997,0.3769
0.000630630471277982,0.9997,0.3754
0.0005791696603409946,0.99976,0.3758
0.008077161386609077,0.99976,0.3768
0.000572635733988136,0.99972,0.3763
0.0005898347590118647,0.99974,0.3765
0.00734199583530426,0.99974,0.3769
0.000520302273798734,0.9998,0.3763
0.0005021342658437788,0.9997,0.3767
0.0005720800836570561,0.99976,0.3756
0.0005132821388542652,0.99976,0.3773
0.0004587442963384092,0.99972,0.3769
0.0005255052819848061,0.9997,0.3775
0.013846196234226227,0.99978,0.3787
0.0032504608388990164,0.99974,0.3779
0.0004847413511015475,0.99972,0.3769
0.0004982224781997502,0.99976,0.3763
0.011766357347369194,0.99974,0.3759
0.0004620634426828474,0.9998,0.3768
0.0005208649090491235,0.99974,0.377
0.00040101795457303524,0.99976,0.3751
0.00045734026934951544,0.99974,0.3754
0.0004295362741686404,0.99968,0.377
0.0005323196528479457,0.9998,0.3775
0.0004258441331330687,0.99972,0.3769
0.0004256386309862137,0.99974,0.3774
0.00037213214091025293,0.99974,0.3745
0.00031468499219045043,0.9997,0.3777
0.0004514223837759346,0.99968,0.3762
0.0004929298302158713,0.99974,0.3772
0.0004168224986642599,0.99972,0.3779
0.000370335386833176,0.99974,0.3774
0.0004289041680749506,0.99978,0.3766
0.0003840716672129929,0.9998,0.3761
0.000386811705539003,0.99976,0.3769
0.000345356558682397,0.99974,0.3762
0.0003176321624778211,0.99978,0.376
0.000360632169758901,0.99972,0.3757
0.003553616115823388,0.99972,0.3774
0.00032977215596474707,0.99974,0.3757
0.0003532099653966725,0.99972,0.3758
0.00040048116352409124,0.99974,0.376
0.00032935113995335996,0.99972,0.3762
0.00033236388117074966,0.9998,0.3771
0.0003217812336515635,0.9997,0.3759
0.00038417091127485037,0.99968,0.378
0.00032057714997790754,0.99972,0.3756
0.00031096654129214585,0.99974,0.3778
0.00032085238490253687,0.99976,0.3757
0.0003089826204814017,0.99974,0.377
0.0004351461539044976,0.99976,0.3767
0.0003271386376582086,0.99976,0.3771
0.0005797997582703829,0.99976,0.3767
0.0002914222714025527,0.99978,0.3755
0.004795093555003405,0.99972,0.375
0.0002736333117354661,0.99976,0.3768
0.0004028276016470045,0.99974,0.3761
0.0002786227851174772,0.9997,0.3741
0.0002912413910962641,0.99974,0.3782
0.007031179498881102,0.99974,0.3763
0.00029458518838509917,0.99968,0.3752
0.0002601408341433853,0.99972,0.3757
0.00029651643126271665,0.99974,0.3753
0.007154977880418301,0.99978,0.3764
0.004823804832994938,0.99976,0.3753
0.00023923011031001806,0.99974,0.3751
0.00029569113394245505,0.99976,0.3756
0.00025486768572591245,0.9997,0.3757
0.00023995910305529833,0.99976,0.3752
0.00027288513956591487,0.99968,0.3766
0.00036800772068090737,0.99976,0.3751
0.0002540497516747564,0.99974,0.3749
0.00024362366821151227,0.99974,0.3749
0.00037458317819982767,0.99972,0.3754
0.00020510486501734704,0.99974,0.3755
0.0003232135495636612,0.99972,0.3779
0.00023120590776670724,0.9997,0.3758
0.0002670575340744108,0.99974,0.3747
0.0002673951385077089,0.99978,0.3761
0.0003041434392798692,0.9997,0.3746
0.00023451870947610587,0.99974,0.3744
0.00024322533863596618,0.99972,0.3753
0.0002586406480986625,0.99976,0.375
0.00022735937091056257,0.99974,0.3763
0.0002672433911357075,0.9997,0.3763
0.0002256654406664893,0.99974,0.3763
0.0002183075121138245,0.99972,0.3767
0.00024072204541880637,0.9997,0.3764
0.0002206524950452149,0.99978,0.3748
0.0002579044958110899,0.99974,0.3754
0.00020324959768913686,0.9998,0.3748
0.00021593831479549408,0.99972,0.3752
0.0002799012290779501,0.99976,0.3755
0.006415907759219408,0.99978,0.3741
0.00019457237794995308,0.99974,0.3748
0.0003234094474464655,0.99976,0.3754
0.0002006794384215027,0.99972,0.3767
0.0002031548647210002,0.99968,0.3756
0.005920732859522104,0.99978,0.3756
0.00024034909438341856,0.99972,0.3754
0.00021003454457968473,0.99972,0.3758
0.005343224853277206,0.99976,0.3753
0.0002465035649947822,0.99974,0.3765
0.005495036486536264,0.99974,0.3775
0.0001938602508744225,0.99974,0.3763
0.0046003349125385284,0.99976,0.376
0.00020547735039144754,0.99974,0.3761
0.0002069373440463096,0.99974,0.3748
0.000176569155883044,0.99972,0.3771
0.0001872478169389069,0.9997,0.3751
0.00022809863730799407,0.99978,0.3746
0.00019927644461859018,0.99974,0.3764
0.0002166713820770383,0.99974,0.3759
0.00019635392527561635,0.99976,0.3762
0.0002042880660155788,0.99974,0.3764
0.0001974384067580104,0.99974,0.3757
0.00018825741426553577,0.99972,0.3759
0.0001786286011338234,0.9997,0.3761
0.00017836068582255393,0.99978,0.3758
0.00021119351731613278,0.99976,0.375
0.0001561232202220708,0.99976,0.3768
0.00016818537551444024,0.99974,0.3755
0.00016627743025310338,0.99972,0.376
0.00017356353055220097,0.99974,0.3761
0.00021458031551446766,0.99978,0.3757
0.0002012491022469476,0.99976,0.3743
0.00017302243213634938,0.9997,0.3753
0.00015839836851228029,0.9997,0.3733
0.0001851807173807174,0.9997,0.3749
0.00016871001571416855,0.9997,0.3766
0.00016106493421830237,0.99978,0.3752
0.00016119574138429016,0.99972,0.3712
0.0001847061503212899,0.99974,0.3731
0.00019210785103496164,0.99974,0.373
0.0001460719940951094,0.99972,0.3735
0.00017951887275557965,0.99982,0.3744
0.00015800741675775498,0.99972,0.374
0.00014745790394954383,0.9997,0.3753
0.0001588061568327248,0.9998,0.3742
0.003828028915449977,0.99972,0.3741
0.00015656024334020913,0.99972,0.3733
0.00014929400640539825,0.99974,0.3751
0.00013617314107250422,0.99976,0.3742
0.00016253370267804712,0.9997,0.3739
0.00016976098413579166,0.99974,0.3765
0.00018948163778986782,0.99972,0.3738
